antenna,x,y,z,snap,adc,packet_idx,functional,row,col
1,-0.138,0.0,0.0,0,8,8,1,N21,E1
2,0.35,0.0,0.0,0,9,9,1,N21,E2
3,0.966,0.0,0.0,0,6,6,1,N21,E3
4,1.581,0.0,0.0,2,3,27,1,N21,E5
5,0.0,-10.5,0.0,2,6,30,1,C,E1
6,0.57,-10.5,0.0,2,11,35,1,C,E2
7,0.92,-10.5,0.0,2,8,32,1,C,E3
8,1.57,-10.5,0.0,2,1,25,1,C,E5
9,2.38,-10.5,0.0,2,9,33,1,C,E6
10,-4.89,-5.5,0.3,2,2,26,1,O1,O1
11,0.825,-9.5,0.0,4,3,51,1,N2,E3
12,1.65,-9.5,0.0,4,1,49,1,N2,E5
13,0.38,-9.0,0.0,4,7,55,1,N3,E2
14,1.65,-9.0,0.0,4,5,53,1,N3,E5
15,0.0,-8.5,0.0,4,11,59,1,N4,E1
16,2.03,-8.5,0.0,4,8,56,1,N4,E6
