pos_id,plank_id,ew_slot,ew_label,x_east_m,y_north_m,z_up_m,installed,pos_type,snap_A,adc_A,enabled_A,quality_A,snap_B,adc_B,enabled_B,quality_B,ant64,include_in_ant64,include_in_beamforming,is_reference_candidate,comment
N21_E01,N21,1.0,E01,0.0,0.0,0.0,True,antenna,0.0,8.0,True,unknown,,,False,unknown,0.0,True,True,False,
N21_E02,N21,2.0,E02,0.23,0.0,0.0,True,antenna,0.0,9.0,True,unknown,,,False,unknown,1.0,True,True,False,
N21_E03,N21,3.0,E03,0.825,0.0,0.0,True,antenna,0.0,6.0,True,unknown,,,False,unknown,2.0,True,True,False,
N21_E04,N21,4.0,E04,1.205,0.0,0.0,True,antenna,,,False,unknown,,,False,unknown,3.0,True,True,False,
N21_E05,N21,5.0,E05,1.63,0.0,0.0,True,antenna,0.0,11.0,True,unknown,,,False,unknown,4.0,True,True,False,
N21_E06,N21,6.0,E06,2.03,0.0,0.0,True,antenna,2.0,3.0,True,good,,,False,unknown,5.0,True,True,True,Only reliable north-plank input
C00_E01,C00,1.0,E01,0.0,-10.5,0.0,True,antenna,2.0,6.0,True,unknown,,,False,unknown,6.0,True,True,False,
C00_E02,C00,2.0,E02,0.23,-10.5,0.0,True,antenna,2.0,11.0,True,good,,,False,unknown,7.0,True,True,False,
C00_E03,C00,3.0,E03,0.825,-10.5,0.0,True,antenna,2.0,8.0,True,good,,,False,unknown,8.0,True,True,False,
C00_E04,C00,4.0,E04,1.205,-10.5,0.0,True,antenna,2.0,10.0,True,unknown,,,False,unknown,9.0,True,True,False,
C00_E05,C00,5.0,E05,1.63,-10.5,0.0,True,antenna,2.0,1.0,True,good,,,False,unknown,10.0,True,True,False,
C00_E06,C00,6.0,E06,2.03,-10.5,0.0,True,antenna,2.0,9.0,True,good,,,False,unknown,11.0,True,True,False,
TRIG1,TRIG1,,,-6.95,-5.5,0.279,True,out_trigger,,,False,unknown,,,False,unknown,,False,False,False,Out-trigger antenna; excluded from beamforming
